,player_name,player_serve_win_ratio,player_return_win_ratio,player_bp_per_game,player_bp_conversion_ratio,player_game_win_ratio,player_point_win_ratio,player_clutch_factor,player_win_rank_weight,player_win_elo_weight,player_game_win_ratio_rank_weighted,player_point_win_ratio_rank_weighted,player_game_win_ratio_elo_weighted,player_point_win_ratio_elo_weighted,player_rank,player_log_rank,player_rank_points,player_log_rank_points,player_ht,player_old_elo,player_old_elo_surface_specific
0,Adam Pavlasek,0.6031534325889165,0.32481751061065933,0.30638111888111885,0.6333333333333334,0.4497307104660046,0.469238862257518,-0.019508151791513342,0.09677246431206436,5.628485703577818e-10,0.4657717562906618,0.48468282718190475,-20.191766758668415,-18.338228976175873,222.0,5.402677381872279,227.0,5.424950017481403,184.9861034924118,2017.2248911437287,1858.6107844771839
1,Adrian Mannarino,0.6515545267815831,0.381882869783011,0.5720540647623981,0.44692753234419885,0.5302081508706841,0.5164999099511226,0.013708240919561384,0.27596305087767137,2.1755721794894076e-10,0.516268483039936,0.5034945689897553,-12.14744856129933,-14.920145018655186,43.0,3.7612001156935624,1111.0,7.01301578963963,183.0,2271.6723619255563,2159.841976446591
2,Adrian Menendez Maceiras,0.5926734343572664,0.34834489829509335,0.45878423630524445,0.37076376004947414,0.4477280599747589,0.46977387429553935,-0.02204581432078042,0.015910507790316535,2.805542928245847e-09,0.3627927422433782,0.3922160921695602,15.627401481958632,8.294337870289363,236.0,5.4638318050256105,206.0,5.327876168789581,184.9861034924118,1975.5082942816116,1876.1226114728684
3,Agustin Velotti,0.559725717481382,0.29776541764246617,0.2810457516339852,0.6666666666666659,0.3720043572984754,0.426064641420447,-0.05406028412197181,0.0026094591830750275,1.4430059084407513e-08,0.37423233784108495,0.4348653319299391,47.88041880900627,52.002466765804115,386.0,5.955837369464831,94.0,4.543294782270004,184.9861034924118,1910.3088288927163,1844.7238131998954
4,Akira Santillan,0.6663944947812379,0.3899858222002163,0.6635526845485994,0.3882000625121474,0.5521720619419416,0.5264835028877621,0.025688559054179105,0.051148514477193305,9.51916608479983e-09,0.5332985784644108,0.5150759836357277,17.766514189100842,12.488462262012254,250.0,5.521460917862246,189.0,5.241747015059643,184.9861034924118,1954.0363417703036,1907.054543659797
5,Albert Ramos,0.6304513254648118,0.3560836814599512,0.4938875360750359,0.43814484126984116,0.5097030104169977,0.49576304698711327,0.013939963429884007,0.34241767298170894,7.083740070254631e-11,0.541227356995731,0.5275147802710185,-42.575469186582986,-45.83852269349495,42.0,3.7376696182833684,1130.0,7.029972911706386,188.0,2289.637888598187,2116.442178240805
6,Aldin Setkic,0.587158272079207,0.3294697146149132,0.410297168109668,0.2760416666666665,0.4277811516343732,0.4635914879491345,-0.03581033631476178,0.01574730086405357,4.0620633092843224e-08,0.5355949560132595,0.5948970719460548,4.978707480595769,-2.1832432750822397,487.0,6.18826412308259,63.0,4.143134726391533,193.0,1849.0419989818718,1833.6484819409031
7,Alejandro Davidovich Fokina,0.6273072171200808,0.43416516582216275,0.7005861853288323,0.541112012987013,0.5687634014335865,0.5300203122104574,0.038743089223128725,0.06202751233410373,2.5673850624320083e-09,0.4736354733843137,0.443210453803531,78.29034229770511,71.8215504516157,93.0,4.532599493153256,591.0,6.3818160174060985,185.29831782390838,2212.825082524974,2050.2248386393744
8,Alejandro Gonzalez,0.6056464697883592,0.3950661100588195,0.7091666666666667,0.3749999999999998,0.499896331738437,0.5006889019104062,-0.0007925701719698697,0.028706848133502834,3.735561053695211e-09,0.5860000464689021,0.589839713317225,-34.31891322183735,-36.468379333475745,470.0,6.152732694704104,66.0,4.189654742026425,184.9861034924118,1835.9161985216638,1742.904682877515
9,Alejandro Tabilo,0.6220250660227359,0.412899407530842,0.7180631868131869,0.45601065601065593,0.5088092555354334,0.5142259951689118,-0.00541673963347886,0.030645711719378105,1.413827506722632e-08,0.5501651209644741,0.5491575131936488,41.72598352630795,40.996311494496396,210.0,5.3471075307174685,244.0,5.497168225293202,184.9861034924118,1991.4392786539383,1867.5714752473677
10,Aleksandar Vukic,0.6411630712310656,0.3316159828426058,0.4134376734376735,0.3295436507936507,0.4584258525159714,0.48562687769549095,-0.0272010251795199,0.024355843266430997,5.852503684402435e-09,0.43220024591037215,0.46619120418317017,9.245082905507388,4.53347908057912,269.0,5.594711379601839,165.0,5.10594547390058,184.9861034924118,1856.1473586438517,1779.7327969316857
11,Aleksandr Nedovyesov,0.6205177384787458,0.3850854698908542,0.6171679197994987,0.4158730158730158,0.49755422424153073,0.49815560003785153,-0.0006013757963212668,0.014854613981017088,1.8712518065468472e-08,0.4189047194118824,0.4266411435747094,20.75149386236965,14.798690814607657,247.0,5.5093883366279774,191.0,5.25227342804663,184.9861034924118,1927.5979585724685,1854.5650430333103
12,Alen Avidzba,0.584328431934078,0.3392199106396561,0.37702020202020214,0.25333333333333297,0.4185990338164249,0.46859082177531797,-0.04999178795889425,0.02107991185446325,3.5983075665005474e-08,0.4482536894761213,0.5473267644528548,-42.21865274400957,-60.68520223567056,423.0,6.0473721790462776,81.0,4.394449154672439,184.9861034924118,1761.4186314918572,1715.24553804999
13,Alessandro Bega,0.6079098095454456,0.43832624817743776,0.7303357233044733,0.5215413059163059,0.5282583822834621,0.5211308978073322,0.007127484476129535,0.027446759784866336,4.048961920325228e-08,0.5804712826348409,0.5888974379387819,-2.478143478174906,-12.920355815011527,403.0,5.998936561946683,88.0,4.477336814478207,184.9861034924118,1843.6507675301953,1781.4968827394293
14,Alessandro Giannessi,0.4615384615384678,0.38297872340424816,0.33333333333333265,0.666666666666665,0.29411764705882226,0.42424242424241754,-0.130124777183601,0.0,5.542110104105285e-23,0.27921437260085175,0.4027455798727457,-27.688440961155163,-39.938478477303086,149.0,5.003946305945459,361.0,5.8888779583328805,183.0,2085.0575335810713,1877.24373810367
15,Alex Bolt,0.6656989664605996,0.33723032408505405,0.35569728474140233,0.4491915912370457,0.5197988593101196,0.5074612251049574,0.012337634205161947,0.06962880643892427,7.049385998305382e-09,0.4030846525643266,0.39603045070471316,50.067941982989105,45.83718628312655,162.0,5.087596335232384,313.0,5.746203190540153,184.9861034924118,2042.2067067246585,1980.106152945365
16,Alex De Minaur,0.6921273876598997,0.37966916988579835,0.5461348734169857,0.4338724358667547,0.5537892921752628,0.5315356205247809,0.022253671650481643,0.4353618849829848,1.7059456936533577e-10,0.5169014989951158,0.4964373991840568,35.65636800049312,31.724695389748295,18.0,2.8903717578961645,1775.0,7.4815557019095165,185.29831782390838,2427.9977051922274,2362.587948209626
17,Alex Molcan,0.6300724582828513,0.4022390085882181,0.7284800384800383,0.4359620009620009,0.5394749026267334,0.5150262366043097,0.02444866602242296,0.07793778859760928,6.21686973191371e-09,0.6807885803469305,0.6492819336575856,-14.249426107722948,-14.83683964309372,319.0,5.765191102784844,126.0,4.836281906951478,184.9861034924118,2007.0008250770602,1957.381489865456
18,Alexandar Lazarov,0.5301981139608629,0.28463956586610356,0.26062007141794236,0.1552740572183851,0.3187500000000034,0.4073732663902752,-0.0886232663902766,1.4432899320127035e-15,1.2614504341433672e-23,0.758715490939385,0.9849632117490437,-121.985152464335,-163.01112513239212,527.0,6.267200548541362,50.0,3.912023005428146,184.9861034924118,1748.7952278279877,1746.6823560569817
